difficulty,task_id,model_family,model_name,run_times,max_turns,failure_num,num_correct,total_samples,accuracy,,,,,
easy,horizontal_projectile_infheight,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,6,6,1,1847.594595,,,,
easy,freefall_inelastic_collision,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,6,6,1,4757.756757,,,,
hard,bullet_object,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,3,6,0.5,9736.475,,0.5,,6256.820116
hard,river_boat,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,6,6,1,4331.810811,,,,
hard,incline_plane_block,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,5,6,0.833333333,7210.921053,,,,
hard,three_balls_collision,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,5,6,0.833333333,7049.868421,,,,
hard,double_pendulum,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,0,6,0,6310.69697,,,,
hard,harmonic_friction,gemini,gemini-2.5-pro_thinking,run_1,29.5,1,0,6,0,2845.848485,,,,
hard,ball_air_resistance,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,0,6,0,5743.545455,,,,
hard,balls_collision,gemini,gemini-2.5-pro_thinking,run_1,28.5,1,5,6,0.833333333,6825.394737,,,,
easy,balls_completely_elastic_collision,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,5,6,0.833333333,1714.315789,0.551282051,,2531.348809,
easy,balls_completely_elastic_collision_2,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,6,6,1,3005.702703,,,,
easy,simple_harmonic_horizontal,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,1,6,0.166666667,5698.333333,,,,
easy,simple_harmonic_vertical,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,2,6,0.333333333,3584.651163,,,,
easy,oblique_projectile_infheight,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,5,6,0.833333333,568.4615385,,,,
easy,pendulum,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,1,6,0.166666667,2342.465116,,,,
easy,elliptical_planetary_orbit,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,3,6,0.5,2633.682927,,,,
easy,cycloid,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,2,6,0.333333333,2456.414634,,,,
easy,conical_pendulum,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,1,6,0.166666667,2022.744186,,,,
easy,freefall_elastic_collision,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,1,6,0.166666667,6184.166667,,,,
easy,freefall_infheight,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,6,6,1,256.3157895,,,,
easy,horizontal_projectile_infheight,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,6,6,1,331.972973,,,,
easy,freefall_inelastic_collision,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,4,6,0.666666667,2108.307692,,,,
hard,bullet_object,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,3,6,0.5,4861.1,,0.458333333,,3055.61227
hard,river_boat,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,5,6,0.833333333,1408.368421,,,,
hard,incline_plane_block,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,4,6,0.666666667,2031.825,,,,
hard,three_balls_collision,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,5,6,0.833333333,4468.631579,,,,
hard,double_pendulum,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,0,6,0,4518.272727,,,,
hard,harmonic_friction,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,1,6,0.166666667,2508.090909,,,,
hard,ball_air_resistance,gemini,gemini-2.5-flash_thinking,run_1,29.5,1,2,6,0.333333333,3212.514286,,,,
hard,balls_collision,gemini,gemini-2.5-flash_thinking,run_1,28.5,1,2,6,0.333333333,1436.095238,,,,
easy,balls_completely_elastic_collision,deepseek,deepseek-chat,run_1,30,1,1,6,0.166666667,0,0.179487179,,0,
easy,balls_completely_elastic_collision_2,deepseek,deepseek-chat,run_1,29,1,1,6,0.166666667,0,,,,
easy,simple_harmonic_horizontal,deepseek,deepseek-chat,run_1,30,1,1,6,0.166666667,0,,,,
easy,simple_harmonic_vertical,deepseek,deepseek-chat,run_1,30,1,1,6,0.166666667,0,,,,
easy,oblique_projectile_infheight,deepseek,deepseek-chat,run_1,30,1,0,6,0,0,,,,
easy,pendulum,deepseek,deepseek-chat,run_1,30,1,0,6,0,0,,,,
easy,elliptical_planetary_orbit,deepseek,deepseek-chat,run_1,30,1,0,6,0,0,,,,
easy,cycloid,deepseek,deepseek-chat,run_1,30,1,0,6,0,0,,,,
easy,conical_pendulum,deepseek,deepseek-chat,run_1,30,1,1,6,0.166666667,0,,,,
easy,freefall_elastic_collision,deepseek,deepseek-chat,run_1,30,1,1,6,0.166666667,0,,,,
easy,freefall_infheight,deepseek,deepseek-chat,run_1,30,1,5,6,0.833333333,0,,,,
easy,horizontal_projectile_infheight,deepseek,deepseek-chat,run_1,30,1,0,6,0,0,,,,
easy,freefall_inelastic_collision,deepseek,deepseek-chat,run_1,30,1,3,6,0.5,0,,,,
hard,bullet_object,deepseek,deepseek-chat,run_1,30,1,0,6,0,0,,0.125,,0
hard,river_boat,deepseek,deepseek-chat,run_1,30,1,4,6,0.666666667,0,,,,
hard,incline_plane_block,deepseek,deepseek-chat,run_1,30,1,1,6,0.166666667,0,,,,
hard,three_balls_collision,deepseek,deepseek-chat,run_1,30,1,0,6,0,0,,,,
hard,double_pendulum,deepseek,deepseek-chat,run_1,30,1,0,6,0,0,,,,
hard,harmonic_friction,deepseek,deepseek-chat,run_1,30,1,0,6,0,0,,,,
hard,ball_air_resistance,deepseek,deepseek-chat,run_1,30,1,0,6,0,0,,,,
hard,balls_collision,deepseek,deepseek-chat,run_1,30,1,1,6,0.166666667,0,,,,
